transaction_id,subscription_id,customer_id,action,transaction_date,change_in_asset_arr,change_in_asset_mrr,change_in_asset_tcv
ATH-001,SUB-001,CUST-001,Downgrade,2025-08-15,-3600.00,-300.00,-7200.00
ATH-002,SUB-002,CUST-001,Downgrade,2025-08-20,-12000.00,-1000.00,-24000.00
ATH-003,SUB-002,CUST-001,Downgrade,2026-02-10,-8400.00,-700.00,-8400.00
ATH-004,SUB-003,CUST-001,Upgrade,2025-06-01,7200.00,600.00,14400.00
ATH-005,SUB-005,CUST-001,Downgrade,2026-02-05,-4320.00,-360.00,-4320.00
ATH-006,SUB-005,CUST-001,Downgrade,2026-04-20,-3600.00,-300.00,-3600.00
ATH-007,SUB-006,CUST-001,Upgrade,2026-03-10,4800.00,400.00,4800.00
ATH-008,SUB-007,CUST-001,Downgrade,2025-12-15,-4800.00,-400.00,-9600.00
ATH-009,SUB-009,CUST-001,Downgrade,2025-07-20,-24000.00,-2000.00,-48000.00
ATH-010,SUB-009,CUST-001,Downgrade,2025-11-15,-18000.00,-1500.00,-36000.00
ATH-011,SUB-009,CUST-001,Downgrade,2026-03-10,-22500.00,-1875.00,-22500.00
ATH-012,SUB-010,CUST-001,Upgrade,2026-01-20,12200.00,1016.67,24400.00
