Id,Asset Name,Net Price,ARR,Term,Expires In Days,Due Amount,TCV,Renewal Amount,Upsell Opportunity Amount,Risk Band,Recommended Action
ALI-001,CRM Pro Suite,$2850.00,$34200.00,12,49,$2850.00,$34200.00,$30600.00,$0.00,,
ALI-002,Analytics Cloud,$9600.00,$115200.00,36,14,$9600.00,$115200.00,$97920.00,$0.00,,
ALI-003,ERP Core Platform,$7200.00,$86400.00,24,183,$0.00,$259200.00,$93038.00,$6638.00,,
ALI-004,Sales Accelerator,$1260.00,$15120.00,12,157,$1260.00,$15120.00,$15120.00,$0.00,,
ALI-005,DevOps Pipeline,$1440.00,$17280.00,12,19,$1440.00,$17280.00,$11923.00,$0.00,,
ALI-006,Data Insights Hub,$4640.00,$55680.00,12,75,$0.00,$55680.00,$60691.00,$5011.00,,
ALI-007,HR Connect,$2940.00,$35280.00,12,34,$2940.00,$35280.00,$31046.00,$0.00,,
ALI-008,Security Shield Pro,$7800.00,$93600.00,24,80,$7800.00,$93600.00,$93600.00,$0.00,,
ALI-009,Collaboration Suite,$13800.00,$165600.00,12,0,$13800.00,$165600.00,$119232.00,$0.00,,
ALI-010,Marketing Cloud,$12200.00,$146400.00,36,228,$0.00,$1024800.00,$159576.00,$13176.00,,
